symbol,company,industry,tier,price,change_pct,high_52w,low_52w,high_200d,low_200d,from_52w_high_pct,ema20,ema200,above_ema200,rsi14,macd,macd_signal,macd_hist,vol_vs_avg20,consec_days,history_days
RAMRAT,Ram Ratna Wires Limited,,2,525.8,1.93,591.9,276.6,591.9,276.6,-11.17,522.32,406.88,True,53.65,15.972,22.196,-6.223,0.21,1,248
CARBORUNIV,Carborundum Universal Ltd.,Capital Goods,1,1051.6,1.92,1238.75,746.57,1238.75,746.57,-15.11,1090.89,1010.47,True,41.79,-12.025,-4.655,-7.371,0.5,1,248
LICI,Life Insurance Corporation of India,Financial Services,1,407.7,1.92,451.49,354.51,443.05,354.51,-9.7,407.5,412.93,False,48.87,-3.979,-3.111,-0.867,0.94,3,252
COCKERILL,John Cockerill India Limited,,2,8029.0,1.92,10290.5,5086.5,10290.5,5086.5,-21.98,8203.24,7197.51,True,44.58,-147.369,-170.493,23.124,0.62,1,107
GARFIBRES,Garware Technical Fibres Limited,,2,800.6,1.92,842.7,591.72,842.7,591.72,-5.0,796.76,723.94,True,52.4,7.208,10.756,-3.548,0.72,1,248
RAIN,Rain Industries Limited,,2,206.92,1.92,241.86,101.01,241.86,101.01,-14.45,208.49,174.88,True,48.69,-0.856,-0.093,-0.763,0.55,3,252
VIVIDHA,Visagar Polytex Limited,,2,0.53,1.92,0.84,0.43,0.74,0.43,-36.9,0.52,0.58,False,55.36,-0.002,-0.004,0.002,0.25,2,248
TEXINFRA,Texmaco Infrastructure & Holdings Limited,,2,116.25,1.91,120.03,83.87,120.03,83.87,-3.15,114.02,104.38,True,57.05,1.327,1.138,0.189,0.75,1,248
BELLACASA,Bella Casa Fashion & Retail Limited,,2,255.25,1.9,471.7,222.69,403.95,222.69,-45.89,245.74,281.29,False,58.51,4.233,2.578,1.655,1.02,1,249
ASHIANA,Ashiana Housing Limited,,2,348.35,1.89,396.05,272.18,396.05,279.05,-12.04,357.7,346.44,True,37.98,-7.5,-6.18,-1.32,1.61,1,249
GREENLAM,Greenlam Industries Limited,,2,230.86,1.89,273.7,202.03,273.7,202.03,-15.65,240.77,244.52,False,36.15,-5.44,-4.052,-1.388,0.5,1,247
METROGLOBL,Metroglobal Limited,,2,134.5,1.89,152.0,122.39,152.0,122.39,-11.51,135.81,131.16,True,48.65,0.21,0.763,-0.553,0.16,1,105
PEARLPOLY,Pearl Polymers Limited,,2,16.15,1.89,31.42,13.01,24.35,13.01,-48.6,15.76,19.51,False,53.92,-0.222,-0.365,0.143,1.77,2,248
LLOYDSME,Lloyds Metals And Energy Ltd.,Metals & Mining,1,1812.3,1.88,2101.2,1097.54,2101.2,1097.54,-13.75,1829.48,1648.97,True,44.61,-28.461,-29.373,0.912,0.93,1,250
NETWEB,Netweb Technologies India Ltd.,Information Technology,1,4664.5,1.88,5601.0,3022.22,5601.0,3022.22,-16.72,4927.05,4194.18,True,40.32,-79.375,5.98,-85.356,0.73,2,252
JAYAGROGN,Jayant Agro Organics Limited,,2,231.66,1.88,258.18,147.43,258.18,147.43,-10.27,233.33,213.63,True,50.39,5.145,5.228,-0.083,0.94,1,247
AHLEAST,Asian Hotels (East) Limited,,2,136.06,1.87,170.07,131.04,170.07,131.04,-20.0,137.34,147.37,False,44.74,-2.041,-1.916,-0.125,0.36,1,248
INSPIRISYS,Inspirisys Solutions Limited,,2,83.31,1.87,132.05,71.44,132.05,71.44,-36.91,89.01,95.63,False,37.49,-3.073,-2.668,-0.405,1.33,1,247
KSCL,Kaveri Seed Company Limited,,2,703.35,1.87,1179.11,690.45,1003.8,690.45,-40.35,735.74,877.21,False,29.75,-24.522,-21.738,-2.784,0.6,1,250
MAHSCOOTER,Maharashtra Scooters Limited,,2,13123.0,1.87,17785.41,11055.18,14633.75,11055.18,-26.21,13298.1,13525.61,False,45.01,-57.632,19.805,-77.437,0.87,1,248
PACEDIGITK,Pace Digitek Limited,,2,156.17,1.87,227.93,141.72,216.2,141.72,-31.48,164.15,186.65,False,30.36,-7.994,-7.769,-0.225,0.9,2,241
GLAND,Gland Pharma Ltd.,Healthcare,1,2961.9,1.86,3026.2,1584.83,3026.2,1584.83,-2.12,2889.82,2279.8,True,59.74,50.327,65.887,-15.56,0.81,2,251
CARRARO,Carraro India Limited,,2,524.65,1.86,600.92,417.83,600.92,417.83,-12.69,529.45,521.12,True,47.3,-1.497,1.061,-2.558,1.14,2,250
INDIGOPNTS,Indigo Paints Limited,,2,1081.6,1.86,1320.4,707.8,1294.51,707.8,-18.09,1122.75,1045.53,True,41.48,-6.31,7.479,-13.789,1.06,1,249
TURTLEMINT,Turtlemint Fintech Solutions Limited,,2,134.12,1.86,153.64,111.84,153.64,111.84,-12.71,136.84,135.28,False,46.91,-1.458,0.239,-1.697,0.84,2,60
UNIENTER,Uniphos Enterprises Limited,,2,90.71,1.86,151.45,86.92,145.08,86.92,-40.11,92.77,108.02,False,37.66,-1.787,-1.562,-0.224,0.99,1,250
IRCON,IRCON International Ltd.,Construction,1,109.85,1.84,183.25,107.81,176.67,107.81,-40.05,115.25,138.6,False,27.41,-4.232,-3.631,-0.6,1.88,2,252
AJMERA,Ajmera Realty & Infra India Limited,,2,115.6,1.84,212.86,99.11,198.95,99.11,-45.69,116.28,136.71,False,45.53,-1.419,-1.596,0.177,0.99,2,251
IEX,Indian Energy Exchange Ltd.,Financial Services,1,115.46,1.82,150.56,112.0,150.56,112.0,-23.31,117.4,126.05,False,39.54,-2.811,-2.545,-0.266,0.66,2,252
JAYNECOIND,Jayaswal Neco Industries Limited,,2,88.94,1.82,115.24,66.28,115.24,66.28,-22.82,91.92,87.94,True,42.45,-1.246,-0.266,-0.98,0.19,1,251
NITIRAJ,Nitiraj Engineers Limited,,2,230.02,1.82,233.25,171.85,233.25,171.85,-1.38,218.14,203.22,True,65.04,6.739,4.521,2.217,0.74,1,247
CRESTO,CRESTO TECHNO LIMITED,,2,16.34,1.81,26.4,15.0,24.5,15.0,-38.11,16.13,17.02,False,52.52,0.081,0.044,0.037,0.53,1,247
VARROC,Varroc Engineering Limited,,2,851.15,1.81,884.4,466.45,884.4,466.45,-3.76,835.96,658.25,True,56.89,23.871,28.24,-4.37,1.19,1,249
DIVISLAB,Divi's Laboratories Ltd.,Healthcare,1,9323.0,1.8,9575.0,5666.13,9575.0,5797.09,-2.63,9113.04,7223.43,True,61.78,259.444,319.747,-60.302,1.02,1,250
FORTIS,Fortis Healthcare Ltd.,Healthcare,1,886.0,1.8,1096.74,787.91,989.3,787.91,-19.22,902.47,929.22,False,40.86,-12.213,-9.77,-2.443,2.04,1,251
MUTHOOTFIN,Muthoot Finance Ltd.,Financial Services,1,2771.4,1.8,4057.39,2722.3,4057.39,2722.3,-31.7,2896.01,3171.23,False,38.21,-57.017,-32.146,-24.871,0.68,1,249
EPACKPEB,EPack Prefab Technologies Limited,,2,226.26,1.8,330.05,132.17,315.95,132.17,-31.45,231.38,223.57,True,44.97,-3.0,-2.562,-0.438,0.68,3,241
ELIN,Elin Electronics Limited,,2,88.71,1.79,224.83,87.15,181.27,87.15,-60.54,95.51,125.92,False,34.61,-2.756,-1.773,-0.982,0.86,1,248
GRINDWELL,Grindwell Norton Limited,,2,1895.6,1.79,2382.3,1340.38,2382.3,1340.38,-20.43,1938.35,1841.02,True,40.66,-53.014,-47.48,-5.535,1.85,3,251
JUSTDIAL,Just Dial Limited,,2,673.7,1.79,860.95,490.7,804.05,490.7,-21.75,678.82,652.88,True,47.98,-2.317,0.558,-2.874,0.4,1,250
SUNTECK,Sunteck Realty Limited,,2,279.65,1.79,460.48,271.74,429.15,271.74,-39.27,293.02,336.92,False,35.42,-5.373,-3.281,-2.093,1.31,1,249
ELECON,Elecon Engineering Co. Ltd.,Capital Goods,1,414.6,1.78,620.16,353.74,561.05,353.74,-33.15,423.2,475.83,False,41.79,-7.264,-7.197,-0.067,0.22,1,251
FIBERWEB,Fiberweb (India) Limited,,2,26.08,1.76,47.32,25.63,46.0,25.63,-44.89,26.64,33.41,False,42.55,-0.598,-0.743,0.145,0.66,1,247
OSWALPUMPS,Oswal Pumps Limited,,2,278.1,1.76,794.6,269.85,566.6,269.85,-65.0,285.81,411.04,False,37.43,-11.706,-13.499,1.793,0.66,2,252
RUCHIRA,Ruchira Papers Limited,,2,107.28,1.75,165.03,96.0,126.94,96.0,-34.99,106.59,115.95,False,51.96,0.642,0.238,0.405,0.41,1,248
SVLL,Shree Vasu Logistics Limited,,2,804.2,1.75,849.15,479.9,849.15,479.9,-5.29,788.18,700.89,True,61.2,10.969,13.322,-2.353,0.72,2,247
DELTACORP,Delta Corp Limited,,2,56.15,1.74,83.91,48.93,80.93,48.93,-33.08,56.7,65.17,False,42.01,-1.685,-1.731,0.046,1.54,2,251
SANATHAN,Sanathan Textiles Limited,,2,461.95,1.74,528.85,365.9,501.4,365.9,-12.65,462.15,452.54,True,50.06,0.754,0.006,0.748,0.4,1,249
TARC,TARC Limited,,2,128.81,1.74,182.57,111.59,182.57,111.59,-29.45,126.68,135.93,False,53.61,1.009,0.258,0.751,0.64,1,248
GUJTHEM,Gujarat Themis Biosyn Limited,,2,427.4,1.73,469.9,226.9,453.25,226.9,-9.04,415.4,376.09,True,57.12,11.326,13.368,-2.042,0.73,2,252
ORIENTHOT,Oriental Hotels Limited,,2,143.45,1.73,145.84,81.62,145.84,81.62,-1.64,139.23,121.79,True,61.06,2.0,2.126,-0.127,0.96,2,252
TEMBO,Tembo Global Industries Limited,,2,56.48,1.73,81.2,46.74,78.14,46.74,-30.44,57.39,58.29,False,45.55,-0.477,-0.266,-0.211,0.54,1,249
GHCLTEXTIL,GHCL Textiles Limited,,2,121.68,1.72,140.45,65.13,140.45,65.13,-13.36,128.32,99.55,True,42.52,1.601,3.686,-2.085,0.76,1,249
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,,2,983.7,1.72,1415.6,869.0,1415.6,869.0,-30.51,996.85,1045.38,False,45.18,-10.865,-11.635,0.77,0.21,1,247
FIRSTCRY,Brainbees Solutions Ltd.,Consumer Services,1,172.15,1.71,390.15,168.83,299.5,168.83,-55.88,178.84,238.33,False,33.22,-8.46,-8.924,0.463,1.34,1,252
